Louis Vuitton	193219
Hermes	178735
Christian Louboutin	175944
Armani	174366
Gucci	170587
Burberry	164664
Rolex	151111
Chanel	150240
Cartier	150108
Prada	120393
Tiffany	116028
UGG	105417
Givenchy	100932
Breitling	99511
Versace	98546
Michael Kors	98268
Salvatore Ferragamo	95695
Charriol	91533
La Perla	90573
Bottega Veneta	90000
Celine	90000
Valentino	89649
Hugo Boss	89617
Swarovski	87676
Brooks Brothers	84528
Omega	81198
Kate Spade	81195
Christian Dior	80703
La Mer	80191
Coach	80096
Chloé	80080
Juicy Couture	78889
Cole Haan	77795
David Yurman	77689
Judith Leiber	76131
Proenza Schouler	75298
Yves Saint Laurent	72220
MaxMara	72122
Stella McCartney	71952
Marni	68816
Marc Jacobs	62325
Diesel	61720
Fendi	60661
Calvin Klein	60634
Max Mara	60133
The North Face	59768
L.A.M.B.	56898
Maclaren	56198
Jimmy Choo	56060
Seiko	55417
Victoria's Secret	53344
Bally	53328
Banana Republic	52912
Tumi	51571
Dolce & Gabbana	50764
Add	49352
Samsonite	48844
Mulberry	48516
TAG Heuer	48170
Tom Ford	44236
Stuart Weitzman	43389
Balenciaga	42674
Alex & Ani	42306
Vera Wang	42255
Alex and Ani	40851
Ralph Lauren	40019
Theory	38944
Philosophy	37155
Dooney & Bourke	32189
Longchamp	32002
Pendleton	31924
Invicta Watches	31703
Icon	31396
Sam Edelman	30435
Nike	30302
Lacoste	30072
Reebok	29674
Sonicare	28852
Puma	28495
Rebecca Minkoff	28465
Welder	28096
Swatch	28028
Parker	27750
Thom Browne	27605
Moncler	26877
Movado	26387
DKNY	25530
Next	25295
Nespresso	25091
Bulova	24638
Betsey Johnson	24611
Adidas	24518
Diane von Furstenberg	24072
Kenneth Cole	23753
Hurley	23632
BCBGMAXAZRIA	23420
Clinique	23248
Nautica	23155
All-Clad	22896
Equipment	21922
Calphalon	21616
Salomon	21598
Breville	21403
Jones New York 	20981
ALDO	20914
Zara	20636
Hamilton	20548
Victorinox	20366
Bebe	20338
Camelbak	20208
Bobbi Brown	20142
Beats by Dr. Dre	20000
Tory Burch	19967
Zenith	19957
DC Shoes	19877
Zojirushi	19814
Badgley Mischka	19621
Halogen	19393
Milly	19353
Eddie Bauer	19305
Canada Goose	19296
Vince Camuto	19154
Modern Vintage	19035
Tacori	18998
Callaway Golf	18966
Steiff	18916
Pewter	18880
Wolverine	18831
Tommy Bahama	18827
Eileen Fisher	18816
Zegna	18805
Naturalizer	18789
Spitfire	18638
Alexander McQueen	18631
Teva	18571
Saucony	18377
Incase	18247
Fossil	18137
Vince	18086
Braun	18049
Oscar de la Renta	17980
Sorel	17936
G-Shock	17879
Skagen	17750
Jeffrey Campbell	17673
Living Proof	17612
Stride Rite	17420
Essie	17318
Filson	17203
Tissot	17165
Dyson	16994
Simple	16892
Moschino	16881
Kipling	16457
Lucchese	16424
Hudson	16423
Topshop	16398
iHome	16353
Volcom	16346
Panerai	16147
Bodum	16116
Lucy	16112
Cross	16094
DeLonghi	16077
Madewell	16013
Madame Alexander	15859
Tommy Hilfiger	15853
Hunter	15846
Tonner Dolls	15817
Christopher Radko	15803
Nine West	15793
Mud Pie	15687
Enzo Angiolini	15684
Lilly Pulitzer	15615
Skechers	15550
Shiseido	15509
Frye	15426
Missoni	15415
Silver Jeans Co.	15396
Manolo Blahnik	15391
Jason Wu	15324
Quiksilver	15292
Splendid	15291
Keurig	15215
iRobot	15200
Fred	15185
Platinum	15027
Mikasa	14872
Gibson	14783
Alexander Wang	14700
Elie Tahari	14666
Moss	14606
StriVectin	14522
J Brand	14516
Giuseppe Zanotti	14468
Miu Miu	14401
KidKraft	14346
B. Makowsky	14195
Springfield	14190
Murad	14122
Jawbone	13939
Krups	13817
NARS	13715
Avanti	13663
Lanvin	13641
Laura Mercier	13632
Rockport	13629
Donna Karan	13437
T3	13429
Guess	13425
Rado	13403
Kidrobot	13396
Barbour	13295
Paul Smith	13282
No!No!	13142
Woolrich	13128
American Apparel	13117
Clarks	13079
Porsche Design	13076
Maui Jim	13017
Revo	12984
Mephisto	12952
Lazy Susan	12844
Koolaburra	12755
Spanx	12734
Talbots	12731
Woolrich	12700
Timberland	12636
Roberto Cavalli	12573
Clarins	12562
Reed & Barton	12552
!iT	12462
Minnetonka	12459
Red Wing	12450
Brioni	12428
Lucky Brand	12376
Black Fleece	12349
Thread	12282
Dr. Martens	12274
Joie	12258
Casio	12211
Levi's	12121
Hush Puppies	12116
ghd	12089
SAM.	12029
Creed	12017
Lenox	11976
Miss Me	11806
Fila	11755
Levi's	11724
B&B	11718
Carolina Herrera	11700
Safavieh	11684
Benefit	11663
Furla	11640
Nordstrom	11471
Wildfox	11453
Jura	11387
Case Mate	11372
Keds	11362
Balmain	11349
Guerlain	11239
L'Occitane	11222
Alpinestars	11153
Stila	11152
Clarisonic	11133
John Varvatos	11109
Rock Revival	11021
Hinge	11000
Tod's	10986
Cuisinart	10948
Blush	10944
Keen	10930
Dunhill	10905
Dakine	10898
Obey	10881
Spode	10821
Leatherman	10796
Titanium	10780
Ariat	10745
Maison Martin Margiela	10717
Dockers	10675
Vineyard Vines	10675
Dansko	10658
Logitech	10656
Raymond Weil	10641
Birkenstock	10572
Public School	10554
Waterford	10553
Hard Candy	10498
Native	10490
7 For All Mankind	10478
Lush	10465
Adrianna Papell	10326
IWC	10221
Skullcandy	10196
Sealy	10165
Mizuno	10132
The Body Shop	10128
Nicole Miller	10112
Michele	10111
Free People	10102
Miraclesuit	10024
Columbia	10000
Converse	10000
New Balance	10000
Oakley	10000
Pandora	10000
Merrell	9980
Jane Iredale	9978
Capresso	9974
Robert Graham	9936
Pentax	9935
Lodge	9920
Black Halo	9915
