[2012-12-12 01:21:31,057]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Tods-dark-brown-leather-Her-Laced-square-toe-oxfords/p/320641001/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '320641001'), ('is_new', False)]
[2012-12-12 01:21:31,060]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/T-Squad-white-cotton-jersey-Wise-II-graphic-crewneck-t-shirt/p/319725601/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '319725601'), ('is_new', True)]
[2012-12-12 01:21:31,061]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Miu-Miu-black-leather-woven-platform-sandals/p/314932001/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '314932001'), ('is_new', True)]
[2012-12-12 01:21:31,065]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/DAWN-LEVY-black-down-filled-rabbit-fur-trimmed-Zoe-coat/p/321793801/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '321793801'), ('is_new', True)]
[2012-12-12 01:21:31,066]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Elizabeth-Arden-green-tea-lotus-by-elizabeth-arden-edt-spray-34-oz/p/321996901/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '321996901'), ('is_new', True)]
[2012-12-12 01:21:31,073]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/BCBGMAXAZRIA-black-knit-Liz-lace-back-evening-gown/p/320669501/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '320669501'), ('is_new', True)]
[2012-12-12 01:21:31,081]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/BCBGMAXAZRIA-turkish-rose-crepe-Karey-lace-detail-gown/p/320445901/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '320445901'), ('is_new', True)]
[2012-12-12 01:21:31,083]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Prada-black-suede-and-leopard-calf-hair-lace-up-wedges/p/317519901/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '317519901'), ('is_new', False)]
[2012-12-12 01:21:31,108]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Gucci-khaki-cotton-twill-elastic-strap-pants/p/318699001/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '318699001'), ('is_new', False)]
[2012-12-12 01:21:31,109]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Portolano-purple-cashmere-iTouch-studded-gloves/p/319402503/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '319402503'), ('is_new', False)]
[2012-12-12 01:21:31,110]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Jimmy-Choo-gold-pebbled-metallic-leather-Moore-gold-block-heel-pump/p/321375501/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '321375501'), ('is_new', False)]
[2012-12-12 01:21:31,114]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Pour-la-Victoire-red-patent-leather-Titiana-platform-peep-toe-pomps/p/318462502/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '318462502'), ('is_new', False)]
[2012-12-12 01:21:31,121]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/BCBGMAXAZRIA-merlot-stripe-silk-Skyla-mesh-shoulder-top/p/319989101/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '319989101'), ('is_new', False)]
[2012-12-12 01:21:31,122]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Rainforest-fir-quilted-twill-down-filled-jacket/p/321653101/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '321653101'), ('is_new', True)]
[2012-12-12 01:21:31,124]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/LAMB-white-leather-Midori-wedge-sandals/p/319894402/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '319894402'), ('is_new', False)]
[2012-12-12 01:21:31,186]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/BCBGMAXAZRIA-persian-blue-Enyas-strapless-bustier-gown/p/320669801/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '320669801'), ('is_new', True)]
[2012-12-12 01:21:31,189]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Qi-black-cashmere-Gerritsen-sweater/p/317588003/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '317588003'), ('is_new', False)]
[2012-12-12 01:21:31,209]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Charles-David-black-lizard-embossed-leather-Next-platform-sandals/p/317962701/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '317962701'), ('is_new', True)]
[2012-12-12 01:21:31,217]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Calvin-Klein-olive-quilted-nylon-hooded-down-coat-with-faux-fur-trim/p/319388702/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '319388702'), ('is_new', False)]
[2012-12-12 01:21:31,218]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Fendi-black-and-honey-leather-colorblock-stacked-heel-sandals/p/319169601/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '319169601'), ('is_new', False)]
[2012-12-12 01:21:31,223]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Miu-Miu-black-patent-leather-cork-wedge-sandals/p/319974601/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '319974601'), ('is_new', False)]
